username,category,num_followers,num_followees,num_posts
sofisticatamentedonna,beauty,1917.0,1061.0,960.0
quemdisseberenice,beauty,2887173.0,347.0,1163.0
aura_glitz,beauty,24700.0,642.0,740.0
belle_of_the_ball_beauty83,beauty,19075.0,7500.0,748.0
mikaatbhc,beauty,72007.0,4020.0,1231.0
angelalamarie_,beauty,65617.0,1747.0,1685.0
shelleygregoryhair,beauty,107146.0,2034.0,1301.0
katesbeautystation,beauty,16454.0,1357.0,550.0
jordrivera_,beauty,2723.0,1125.0,2619.0
ellasdaily,beauty,23603.0,1389.0,426.0
kimberleymargarita_,beauty,624847.0,1041.0,938.0
kariiahlg,beauty,1585.0,1469.0,1693.0
youngberrygram,beauty,8000.0,303.0,900.0
mystiicx_makeup,beauty,2190.0,333.0,197.0
ckck_banban,beauty,15003.0,234.0,1090.0
vaeiolet,beauty,3816.0,474.0,787.0
me_salon,beauty,4963.0,3668.0,1186.0
alessaberry,beauty,18575.0,1916.0,465.0
beautybyjulia,beauty,93026.0,2254.0,3049.0
abyxo,beauty,25195.0,860.0,459.0
dailybaileyb,beauty,13870.0,1814.0,1574.0
araako,beauty,16419.0,828.0,715.0
xoalexandram,beauty,12585.0,1996.0,574.0
dreamybeautybar,beauty,2306.0,512.0,2443.0
naturallybeautifulgirl,beauty,1079.0,410.0,463.0
hanahana1214,beauty,4284.0,1217.0,705.0
lou.von.bright,beauty,104314.0,572.0,419.0
makeupbyrosec,beauty,221037.0,1206.0,1773.0
makeupbymisskris,beauty,59879.0,848.0,1059.0
extensionbarla,beauty,14832.0,1964.0,824.0
omayramontes,beauty,3571.0,1819.0,843.0
makeupbycherylh,beauty,26971.0,558.0,805.0
lyds_makeup,beauty,177993.0,1480.0,1795.0
dollface_glamour,beauty,57932.0,7497.0,3562.0
acoloradohairstylist,beauty,1913.0,945.0,386.0
nailstorming,beauty,1057372.0,382.0,2431.0
graceonyourdash,beauty,165951.0,299.0,378.0
verdebio,beauty,18417.0,549.0,1424.0
jadeywadey180,beauty,1150240.0,5938.0,2886.0
